type,year,number
ukpga,1857,58
ukpga,1857,81
ukpga,1858,109
ukpga,1858,25
ukpga,1858,45
ukpga,1858,49
ukpga,1858,56
ukpga,1858,57
ukpga,1858,71
ukpga,1858,78
ukpga,1858,83
ukpga,1858,90
ukpga,1858,93
ukpga,1859,12
ukpga,1859,12
ukpga,1859,19
ukpga,1859,1
ukpga,1859,1
ukpga,1859,21
ukpga,1859,27
ukpga,1859,30
ukpga,1859,32
ukpga,1859,35
ukpga,1859,43
ukpga,1859,46
ukpga,1859,63
ukpga,1860,106
ukpga,1860,112
ukpga,1860,122
ukpga,1860,123
ukpga,1860,124
ukpga,1860,135
ukpga,1860,154
ukpga,1860,27
ukpga,1860,32
ukpga,1860,66
ukpga,1860,90
ukpga,1860,91
ukpga,1860,93
ukpga,1860,95
ukpga,1861,100
ukpga,1861,121
ukpga,1861,124
ukpga,1861,3
ukpga,1861,40
ukpga,1861,45
ukpga,1861,47
ukpga,1861,70
ukpga,1861,86
ukpga,1861,94
ukpga,1861,97
ukpga,1861,98
ukpga,1862,114
ukpga,1862,19
ukpga,1862,20
ukpga,1862,26
ukpga,1862,37
ukpga,1862,4
ukpga,1862,53
ukpga,1862,58
ukpga,1862,69
ukpga,1862,82
ukpga,1862,85
ukpga,1863,112
ukpga,1863,118
ukpga,1863,13
ukpga,1863,23
ukpga,1863,47
ukpga,1863,49
ukpga,1863,81
ukpga,1863,92
ukpga,1864,114
ukpga,1864,23
ukpga,1864,24
ukpga,1864,25
ukpga,1864,33
ukpga,1864,57
ukpga,1864,78
ukpga,1864,89
ukpga,1864,94
ukpga,1864,97
ukpga,1865,111
ukpga,1865,121
ukpga,1865,122
ukpga,1865,125
ukpga,1865,18
ukpga,1865,27
ukpga,1865,55
ukpga,1865,56
ukpga,1865,57
ukpga,1865,63
ukpga,1865,64
ukpga,1865,65
ukpga,1865,69
ukpga,1865,73
ukpga,1865,89
ukpga,1865,90
ukpga,1865,94
ukpga,1866,103
ukpga,1866,111
ukpga,1866,11
ukpga,1866,122
ukpga,1866,19
ukpga,1866,39
ukpga,1866,71
ukpga,1866,75
ukpga,1866,90
ukpga,1867,102
ukpga,1867,126
ukpga,1867,127
ukpga,1867,133
ukpga,1867,134
ukpga,1867,136
ukpga,1867,144
ukpga,1867,17
ukpga,1867,35
ukpga,1867,39
ukpga,1867,3
ukpga,1867,42
ukpga,1867,48
ukpga,1867,5
ukpga,1867,80
ukpga,1867,81
ukpga,1868,100
ukpga,1868,101
ukpga,1868,106
ukpga,1868,107
ukpga,1868,109
ukpga,1868,110
ukpga,1868,114
ukpga,1868,119
ukpga,1868,123
ukpga,1868,130
ukpga,1868,24
ukpga,1868,30
ukpga,1868,34
ukpga,1868,35
ukpga,1868,37
ukpga,1868,45
ukpga,1868,47
ukpga,1868,48
ukpga,1868,64
ukpga,1868,72
ukpga,1868,83
ukpga,1868,84
ukpga,1868,89
ukpga,1868,96
ukpga,1868,9
ukpga,1869,107
ukpga,1869,109
ukpga,1869,10
ukpga,1869,115
ukpga,1869,116
ukpga,1869,19
ukpga,1869,24
ukpga,1869,33
ukpga,1869,42
ukpga,1869,44
ukpga,1869,48
ukpga,1869,62
ukpga,1869,86
ukpga,1869,94
ukpga,1870,23
ukpga,1870,35
ukpga,1870,42
ukpga,1870,46
ukpga,1870,56
ukpga,1870,71
ukpga,1870,78
ukpga,1870,81
ukpga,1870,88
ukpga,1870,90
ukpga,1870,91
ukpga,1871,112
ukpga,1871,113
ukpga,1871,12
ukpga,1871,22
ukpga,1871,26
ukpga,1871,28
ukpga,1871,36
ukpga,1871,37
ukpga,1871,3
ukpga,1871,45
ukpga,1871,48
ukpga,1871,53
ukpga,1871,56
ukpga,1871,63
ukpga,1871,78
ukpga,1871,83
ukpga,1871,84
ukpga,1871,85
ukpga,1871,92
ukpga,1871,96
ukpga,1872,15
ukpga,1872,24
ukpga,1872,26
ukpga,1872,33
ukpga,1872,36
ukpga,1872,49
ukpga,1872,50
ukpga,1872,51
ukpga,1872,67
ukpga,1872,70
ukpga,1872,85
ukpga,1872,94
ukpga,1873,19
ukpga,1873,37
ukpga,1873,48
ukpga,1873,50
ukpga,1873,57
ukpga,1873,60
ukpga,1873,61
ukpga,1873,68
ukpga,1873,72
ukpga,1873,88
ukpga,1874,20
ukpga,1874,27
ukpga,1874,40
ukpga,1874,62
ukpga,1874,64
ukpga,1874,73
ukpga,1874,77
ukpga,1874,80
ukpga,1874,81
ukpga,1874,82
ukpga,1874,84
