type,year,number
ukpga,1947,10
ukpga,1947,11
ukpga,1947,14
ukpga,1947,19
ukpga,1947,21
ukpga,1947,22
ukpga,1947,23
ukpga,1947,24
ukpga,1947,27
ukpga,1947,2
ukpga,1947,30
ukpga,1947,33
ukpga,1947,35
ukpga,1947,37
ukpga,1947,39
ukpga,1947,40
ukpga,1947,41
ukpga,1947,42
ukpga,1947,43
ukpga,1947,44
ukpga,1947,46
ukpga,1947,47
ukpga,1947,48
ukpga,1947,49
ukpga,1947,51
ukpga,1947,53
ukpga,1947,54
ukpga,1947,5
ukpga,1947,7
ukpga,1947,8
ukpga,1948,17
ukpga,1948,1
ukpga,1948,21
ukpga,1948,22
ukpga,1948,23
ukpga,1948,26
ukpga,1948,29
ukpga,1948,33
ukpga,1948,36
ukpga,1948,37
ukpga,1948,38
ukpga,1948,39
ukpga,1948,40
ukpga,1948,41
ukpga,1948,44
ukpga,1948,45
ukpga,1948,47
ukpga,1948,49
ukpga,1948,4
ukpga,1948,53
ukpga,1948,55
ukpga,1948,56
ukpga,1948,57
ukpga,1948,58
ukpga,1948,59
ukpga,1948,5
ukpga,1948,62
ukpga,1948,63
ukpga,1948,64
ukpga,1948,65
ukpga,1948,67
ukpga,1949,100
ukpga,1949,101
ukpga,1949,103
ukpga,1949,11
ukpga,1949,12
ukpga,1949,13
ukpga,1949,15
ukpga,1949,16
ukpga,1949,18
ukpga,1949,20
ukpga,1949,22
ukpga,1949,25
ukpga,1949,27
ukpga,1949,29
ukpga,1949,30
ukpga,1949,31
ukpga,1949,32
ukpga,1949,33
ukpga,1949,35
ukpga,1949,37
ukpga,1949,39
ukpga,1949,41
ukpga,1949,42
ukpga,1949,43
ukpga,1949,45
ukpga,1949,47
ukpga,1949,53
ukpga,1949,54
ukpga,1949,55
ukpga,1949,67
ukpga,1949,69
ukpga,1949,70
ukpga,1949,74
ukpga,1949,75
ukpga,1949,76
ukpga,1949,77
ukpga,1949,78
ukpga,1949,81
ukpga,1949,85
ukpga,1949,87
ukpga,1949,88
ukpga,1949,92
ukpga,1949,93
ukpga,1949,94
ukpga,1949,97
ukpga,1949,98
ukpga,1950,10
ukpga,1950,11
ukpga,1950,12
ukpga,1950,15
ukpga,1950,24
ukpga,1950,27
ukpga,1950,28
ukpga,1950,31
ukpga,1950,36
ukpga,1950,37
ukpga,1950,38
ukpga,1950,39
ukpga,1950,9
ukpga,1951,18
ukpga,1951,26
ukpga,1951,27
ukpga,1951,30
ukpga,1951,32
ukpga,1951,33
ukpga,1951,35
ukpga,1951,39
ukpga,1951,43
ukpga,1951,46
ukpga,1951,50
ukpga,1951,55
ukpga,1951,57
ukpga,1951,58
ukpga,1951,60
ukpga,1951,62
ukpga,1951,63
ukpga,1951,64
ukpga,1951,65
ukpga,1951,66
ukpga,1951,6
ukpga,1951,8
ukpga,1952,10
ukpga,1952,12
ukpga,1952,20
ukpga,1952,23
ukpga,1952,30
ukpga,1952,31
ukpga,1952,33
ukpga,1952,37
ukpga,1952,39
ukpga,1952,3
ukpga,1952,44
ukpga,1952,46
ukpga,1952,47
ukpga,1952,50
ukpga,1952,51
ukpga,1952,52
ukpga,1952,54
ukpga,1952,57
ukpga,1952,58
ukpga,1952,59
ukpga,1952,60
ukpga,1952,64
ukpga,1952,66
ukpga,1952,67
ukpga,1952,68
ukpga,1953,10
ukpga,1953,11
ukpga,1953,14
ukpga,1953,1
ukpga,1953,20
ukpga,1953,23
ukpga,1953,24
ukpga,1953,25
ukpga,1953,26
ukpga,1953,28
ukpga,1953,33
ukpga,1953,34
ukpga,1953,36
ukpga,1953,37
ukpga,1953,39
ukpga,1953,47
ukpga,1953,49
ukpga,1953,52
ukpga,1953,9
ukpga,1954,12
ukpga,1954,15
ukpga,1954,17
ukpga,1954,21
ukpga,1954,23
ukpga,1954,30
ukpga,1954,32
ukpga,1954,34
ukpga,1954,39
ukpga,1954,40
ukpga,1954,44
ukpga,1954,46
ukpga,1954,47
ukpga,1954,48
ukpga,1954,49
ukpga,1954,53
ukpga,1954,56
ukpga,1954,58
ukpga,1954,61
ukpga,1954,64
ukpga,1954,65
ukpga,1954,66
ukpga,1954,68
ukpga,1954,70
ukpga,1954,72
ukpga,1954,73
ukpga,1955,13
ukpga,1955,14
ukpga,1955,18
ukpga,1955,18
ukpga,1955,19
ukpga,1955,19
ukpga,1955,1
ukpga,1955,20
ukpga,1955,21
ukpga,1955,26
ukpga,1955,27
ukpga,1955,28
ukpga,1955,2
ukpga,1955,6
ukpga,1955,7
ukpga,1955,9
ukpga,1956,25
ukpga,1956,28
ukpga,1956,38
ukpga,1956,44
ukpga,1956,46
ukpga,1956,49
ukpga,1956,52
ukpga,1956,53
ukpga,1956,54
ukpga,1956,5
ukpga,1956,60
ukpga,1956,62
ukpga,1956,69
ukpga,1956,70
ukpga,1956,74
ukpga,1957,11
ukpga,1957,12
ukpga,1957,16
ukpga,1957,21
ukpga,1957,24
ukpga,1957,25
ukpga,1957,30
ukpga,1957,31
ukpga,1957,36
ukpga,1957,38
ukpga,1957,42
ukpga,1957,45
ukpga,1957,48
ukpga,1957,52
ukpga,1957,53
ukpga,1957,56
ukpga,1957,57
ukpga,1957,58
ukpga,1957,59
ukpga,1957,60
ukpga,1957,6
ukpga,1958,10
ukpga,1958,13
ukpga,1958,16
ukpga,1958,17
ukpga,1958,1
ukpga,1958,21
ukpga,1958,24
ukpga,1958,27
ukpga,1958,29
ukpga,1958,30
ukpga,1958,33
ukpga,1958,35
ukpga,1958,38
ukpga,1958,39
ukpga,1958,40
ukpga,1958,44
ukpga,1958,45
ukpga,1958,46
ukpga,1958,47
ukpga,1958,49
ukpga,1958,50
ukpga,1958,51
ukpga,1958,52
ukpga,1958,53
ukpga,1958,55
ukpga,1958,56
ukpga,1958,60
ukpga,1958,61
ukpga,1958,62
ukpga,1958,64
ukpga,1958,69
ukpga,1958,71
ukpga,1958,72
ukpga,1958,7
ukpga,1959,13
ukpga,1959,19
ukpga,1959,24
ukpga,1959,25
ukpga,1959,30
ukpga,1959,32
ukpga,1959,33
ukpga,1959,37
ukpga,1959,3
ukpga,1959,40
ukpga,1959,44
ukpga,1959,45
ukpga,1959,49
ukpga,1959,53
ukpga,1959,54
ukpga,1959,56
ukpga,1959,57
ukpga,1959,58
ukpga,1959,5
ukpga,1959,60
ukpga,1959,61
ukpga,1959,66
ukpga,1959,67
ukpga,1959,6
ukpga,1959,70
ukpga,1959,72
ukpga,1959,73
ukpga,1959,9
ukpga,1960,15
ukpga,1960,16
ukpga,1960,18
ukpga,1960,22
ukpga,1960,29
ukpga,1960,2
ukpga,1960,30
ukpga,1960,31
ukpga,1960,32
ukpga,1960,33
ukpga,1960,34
ukpga,1960,36
ukpga,1960,37
ukpga,1960,41
ukpga,1960,43
ukpga,1960,44
ukpga,1960,46
ukpga,1960,49
ukpga,1960,52
ukpga,1960,55
ukpga,1960,57
ukpga,1960,58
ukpga,1960,61
ukpga,1960,62
ukpga,1960,63
ukpga,1960,65
ukpga,1960,66
ukpga,1960,67
ukpga,1960,68
ukpga,1960,6
ukpga,1961,16
ukpga,1961,1
ukpga,1961,20
ukpga,1961,22
ukpga,1961,27
ukpga,1961,31
ukpga,1961,33
ukpga,1961,34
ukpga,1961,35
ukpga,1961,36
ukpga,1961,39
ukpga,1961,41
ukpga,1961,42
ukpga,1961,45
ukpga,1961,46
ukpga,1961,47
ukpga,1961,48
ukpga,1961,49
ukpga,1961,50
ukpga,1961,52
ukpga,1961,54
ukpga,1961,55
ukpga,1961,57
ukpga,1961,58
ukpga,1961,60
ukpga,1961,62
ukpga,1961,63
ukpga,1961,64
ukpga,1961,65
ukpga,1961,9
ukpga,1962,12
ukpga,1962,19
ukpga,1962,1
ukpga,1962,22
ukpga,1962,23
ukpga,1962,26
ukpga,1962,27
ukpga,1962,30
ukpga,1962,31
ukpga,1962,32
ukpga,1962,34
ukpga,1962,35
ukpga,1962,38
ukpga,1962,40
ukpga,1962,43
ukpga,1962,44
ukpga,1962,46
ukpga,1962,47
ukpga,1962,48
ukpga,1962,4
ukpga,1962,52
ukpga,1962,53
ukpga,1962,54
ukpga,1962,56
ukpga,1962,57
ukpga,1962,58
ukpga,1962,59
ukpga,1962,6
ukpga,1962,9
ukpga,1963,11
ukpga,1963,12
ukpga,1963,14
ukpga,1963,15
ukpga,1963,18
ukpga,1963,22
ukpga,1963,24
ukpga,1963,25
ukpga,1963,27
ukpga,1963,29
ukpga,1963,2
ukpga,1963,32
ukpga,1963,33
ukpga,1963,34
ukpga,1963,35
ukpga,1963,36
ukpga,1963,37
ukpga,1963,38
ukpga,1963,39
ukpga,1963,41
ukpga,1963,43
ukpga,1963,44
ukpga,1963,46
ukpga,1963,47
ukpga,1963,48
ukpga,1963,51
ukpga,1963,52
ukpga,1963,54
ukpga,1963,55
ukpga,1963,57
ukpga,1963,59
ukpga,1964,12
ukpga,1964,14
ukpga,1964,15
ukpga,1964,16
ukpga,1964,19
ukpga,1964,20
ukpga,1964,22
ukpga,1964,23
ukpga,1964,24
ukpga,1964,26
ukpga,1964,28
ukpga,1964,29
ukpga,1964,34
ukpga,1964,38
ukpga,1964,39
ukpga,1964,40
ukpga,1964,41
ukpga,1964,42
ukpga,1964,46
ukpga,1964,47
ukpga,1964,48
ukpga,1964,49
ukpga,1964,51
ukpga,1964,52
ukpga,1964,53
ukpga,1964,54
ukpga,1964,55
ukpga,1964,56
ukpga,1964,5
ukpga,1964,60
ukpga,1964,61
ukpga,1964,63
ukpga,1964,65
ukpga,1964,67
ukpga,1964,69
ukpga,1964,70
ukpga,1964,71
ukpga,1964,72
ukpga,1964,73
ukpga,1964,74
ukpga,1964,75
ukpga,1964,81
ukpga,1964,82
ukpga,1964,83
ukpga,1964,84
ukpga,1964,86
ukpga,1964,88
ukpga,1964,89
ukpga,1964,90
ukpga,1964,93
ukpga,1964,95
ukpga,1964,9
ukpga,1965,12
ukpga,1965,13
ukpga,1965,14
ukpga,1965,17
ukpga,1965,18
ukpga,1965,19
ukpga,1965,20
ukpga,1965,22
ukpga,1965,25
ukpga,1965,2
ukpga,1965,32
ukpga,1965,35
ukpga,1965,36
ukpga,1965,37
ukpga,1965,42
ukpga,1965,43
ukpga,1965,44
ukpga,1965,45
ukpga,1965,46
ukpga,1965,47
ukpga,1965,49
ukpga,1965,4
ukpga,1965,51
ukpga,1965,52
ukpga,1965,56
ukpga,1965,57
ukpga,1965,59
ukpga,1965,5
ukpga,1965,62
ukpga,1965,63
ukpga,1965,64
ukpga,1965,66
ukpga,1965,69
ukpga,1965,71
ukpga,1965,72
ukpga,1965,73
ukpga,1965,74
ukpga,1965,76
ukpga,1965,82
ukpga,1965,9
ukpga,1966,10
ukpga,1966,11
ukpga,1966,13
ukpga,1966,14
ukpga,1966,15
ukpga,1966,18
ukpga,1966,19
ukpga,1966,22
ukpga,1966,23
ukpga,1966,24
ukpga,1966,27
ukpga,1966,28
ukpga,1966,29
ukpga,1966,2
ukpga,1966,32
ukpga,1966,34
ukpga,1966,35
ukpga,1966,36
ukpga,1966,37
ukpga,1966,38
ukpga,1966,39
ukpga,1966,41
ukpga,1966,42
ukpga,1966,45
ukpga,1966,47
ukpga,1966,48
ukpga,1966,4
ukpga,1966,51
ukpga,1966,8
ukpga,1967,10
ukpga,1967,13
ukpga,1967,19
ukpga,1967,22
ukpga,1967,23
ukpga,1967,24
ukpga,1967,27
ukpga,1967,28
ukpga,1967,29
ukpga,1967,32
ukpga,1967,37
ukpga,1967,3
ukpga,1967,41
ukpga,1967,44
ukpga,1967,45
ukpga,1967,46
ukpga,1967,48
ukpga,1967,49
ukpga,1967,4
ukpga,1967,50
ukpga,1967,51
ukpga,1967,52
ukpga,1967,54
ukpga,1967,58
ukpga,1967,60
ukpga,1967,61
ukpga,1967,63
ukpga,1967,64
ukpga,1967,65
ukpga,1967,66
ukpga,1967,67
ukpga,1967,69
ukpga,1967,70
ukpga,1967,71
ukpga,1967,72
ukpga,1967,74
ukpga,1967,76
ukpga,1967,77
ukpga,1967,78
ukpga,1967,7
ukpga,1967,80
ukpga,1967,81
ukpga,1967,83
ukpga,1967,84
ukpga,1967,86
ukpga,1967,87
ukpga,1967,88
ukpga,1967,8
ukpga,1967,90
ukpga,1967,91
ukpga,1967,9
ukpga,1968,12
ukpga,1968,13
ukpga,1968,14
ukpga,1968,16
ukpga,1968,17
ukpga,1968,18
ukpga,1968,19
ukpga,1968,20
ukpga,1968,22
ukpga,1968,24
ukpga,1968,25
ukpga,1968,27
ukpga,1968,28
ukpga,1968,29
ukpga,1968,2
ukpga,1968,31
ukpga,1968,34
ukpga,1968,35
ukpga,1968,36
ukpga,1968,38
ukpga,1968,39
ukpga,1968,3
ukpga,1968,41
ukpga,1968,44
ukpga,1968,46
ukpga,1968,47
ukpga,1968,48
ukpga,1968,49
ukpga,1968,50
ukpga,1968,51
ukpga,1968,52
ukpga,1968,53
ukpga,1968,54
ukpga,1968,55
ukpga,1968,56
ukpga,1968,57
ukpga,1968,58
ukpga,1968,59
ukpga,1968,5
ukpga,1968,60
ukpga,1968,61
ukpga,1968,62
ukpga,1968,63
ukpga,1968,64
ukpga,1968,65
ukpga,1968,66
ukpga,1968,67
ukpga,1968,68
ukpga,1968,69
ukpga,1968,70
ukpga,1968,71
ukpga,1968,72
ukpga,1968,73
ukpga,1968,74
ukpga,1968,75
ukpga,1968,76
ukpga,1968,77
ukpga,1968,7
ukpga,1968,8
ukpga,1968,9
ukpga,1969,10
ukpga,1969,12
ukpga,1969,14
ukpga,1969,16
ukpga,1969,17
ukpga,1969,18
ukpga,1969,19
ukpga,1969,20
ukpga,1969,21
ukpga,1969,22
ukpga,1969,24
ukpga,1969,27
ukpga,1969,29
ukpga,1969,2
ukpga,1969,30
ukpga,1969,32
ukpga,1969,33
ukpga,1969,35
ukpga,1969,37
ukpga,1969,38
ukpga,1969,39
ukpga,1969,42
ukpga,1969,43
ukpga,1969,46
ukpga,1969,48
ukpga,1969,51
ukpga,1969,52
ukpga,1969,53
ukpga,1969,54
ukpga,1969,55
ukpga,1969,56
ukpga,1969,57
ukpga,1969,58
ukpga,1969,59
ukpga,1969,63
ukpga,1970,10
ukpga,1970,11
ukpga,1970,13
ukpga,1970,18
ukpga,1970,21
ukpga,1970,22
ukpga,1970,24
ukpga,1970,26
ukpga,1970,27
ukpga,1970,28
ukpga,1970,29
ukpga,1970,2
ukpga,1970,30
ukpga,1970,31
ukpga,1970,32
ukpga,1970,33
ukpga,1970,34
ukpga,1970,35
ukpga,1970,36
ukpga,1970,37
ukpga,1970,38
ukpga,1970,39
ukpga,1970,40
ukpga,1970,41
ukpga,1970,42
ukpga,1970,43
ukpga,1970,44
ukpga,1970,45
ukpga,1970,46
ukpga,1970,4
ukpga,1970,50
ukpga,1970,52
ukpga,1970,54
ukpga,1970,56
ukpga,1970,6
ukpga,1970,7
ukpga,1970,9
ukpga,1971,10
ukpga,1971,11
ukpga,1971,16
ukpga,1971,19
ukpga,1971,20
ukpga,1971,21
ukpga,1971,22
ukpga,1971,23
ukpga,1971,24
ukpga,1971,25
ukpga,1971,27
ukpga,1971,28
ukpga,1971,29
ukpga,1971,2
ukpga,1971,30
ukpga,1971,31
ukpga,1971,32
ukpga,1971,33
ukpga,1971,37
ukpga,1971,38
ukpga,1971,39
ukpga,1971,3
ukpga,1971,40
ukpga,1971,41
ukpga,1971,43
ukpga,1971,45
ukpga,1971,47
ukpga,1971,48
ukpga,1971,49
ukpga,1971,51
ukpga,1971,52
ukpga,1971,54
ukpga,1971,56
ukpga,1971,58
ukpga,1971,59
ukpga,1971,60
ukpga,1971,61
ukpga,1971,62
ukpga,1971,64
ukpga,1971,66
ukpga,1971,68
ukpga,1971,69
ukpga,1971,70
ukpga,1971,71
ukpga,1971,75
ukpga,1971,77
ukpga,1971,78
ukpga,1971,80
ukpga,1971,9
ukpga,1972,10
ukpga,1972,11
ukpga,1972,14
ukpga,1972,15
ukpga,1972,16
ukpga,1972,18
ukpga,1972,19
ukpga,1972,1
ukpga,1972,20
ukpga,1972,21
ukpga,1972,22
ukpga,1972,24
ukpga,1972,25
ukpga,1972,26
ukpga,1972,27
ukpga,1972,28
ukpga,1972,29
ukpga,1972,2
ukpga,1972,30
ukpga,1972,32
ukpga,1972,34
ukpga,1972,35
ukpga,1972,38
ukpga,1972,39
ukpga,1972,41
ukpga,1972,42
ukpga,1972,44
ukpga,1972,45
ukpga,1972,46
ukpga,1972,47
ukpga,1972,48
ukpga,1972,49
ukpga,1972,51
ukpga,1972,52
ukpga,1972,54
ukpga,1972,55
ukpga,1972,58
ukpga,1972,59
ukpga,1972,5
ukpga,1972,60
ukpga,1972,61
ukpga,1972,62
ukpga,1972,63
ukpga,1972,64
ukpga,1972,65
ukpga,1972,66
ukpga,1972,68
ukpga,1972,69
ukpga,1972,6
ukpga,1972,70
ukpga,1972,71
ukpga,1972,73
ukpga,1972,76
ukpga,1972,7
ukpga,1972,9
ukpga,1973,11
ukpga,1973,12
ukpga,1973,13
ukpga,1973,14
ukpga,1973,15
ukpga,1973,16
ukpga,1973,17
ukpga,1973,18
ukpga,1973,20
ukpga,1973,21
ukpga,1973,23
ukpga,1973,24
ukpga,1973,25
ukpga,1973,26
ukpga,1973,27
ukpga,1973,29
ukpga,1973,30
ukpga,1973,32
ukpga,1973,33
ukpga,1973,35
ukpga,1973,36
ukpga,1973,37
ukpga,1973,38
ukpga,1973,39
ukpga,1973,41
ukpga,1973,43
ukpga,1973,45
ukpga,1973,46
ukpga,1973,47
ukpga,1973,48
ukpga,1973,49
ukpga,1973,4
ukpga,1973,50
ukpga,1973,51
ukpga,1973,52
ukpga,1973,53
ukpga,1973,54
ukpga,1973,56
ukpga,1973,57
ukpga,1973,58
ukpga,1973,5
ukpga,1973,60
ukpga,1973,61
ukpga,1973,62
ukpga,1973,63
ukpga,1973,65
ukpga,1973,66
ukpga,1973,67
ukpga,1973,68
ukpga,1973,69
ukpga,1973,8
ukpga,1973,9
ukpga,1974,11
ukpga,1974,14
ukpga,1974,18
ukpga,1974,19
ukpga,1974,20
ukpga,1974,22
ukpga,1974,23
ukpga,1974,24
ukpga,1974,25
ukpga,1974,27
ukpga,1974,28
ukpga,1974,29
ukpga,1974,30
ukpga,1974,32
ukpga,1974,34
ukpga,1974,35
ukpga,1974,36
ukpga,1974,37
ukpga,1974,38
ukpga,1974,39
ukpga,1974,3
ukpga,1974,40
ukpga,1974,43
ukpga,1974,44
ukpga,1974,46
ukpga,1974,47
ukpga,1974,48
ukpga,1974,49
ukpga,1974,50
ukpga,1974,51
ukpga,1974,52
ukpga,1974,53
ukpga,1974,55
ukpga,1974,56
ukpga,1974,5
ukpga,1974,6
ukpga,1974,7
ukpga,1974,8
ukpga,1974,9
ukpga,1975,10
ukpga,1975,11
ukpga,1975,13
ukpga,1975,14
ukpga,1975,15
ukpga,1975,18
ukpga,1975,20
ukpga,1975,21
ukpga,1975,22
ukpga,1975,23
ukpga,1975,24
ukpga,1975,25
ukpga,1975,26
ukpga,1975,27
ukpga,1975,28
ukpga,1975,2
ukpga,1975,30
ukpga,1975,31
ukpga,1975,32
ukpga,1975,34
ukpga,1975,35
ukpga,1975,36
ukpga,1975,37
ukpga,1975,39
ukpga,1975,3
ukpga,1975,41
ukpga,1975,43
ukpga,1975,45
ukpga,1975,46
ukpga,1975,47
ukpga,1975,48
ukpga,1975,49
ukpga,1975,4
ukpga,1975,50
ukpga,1975,51
ukpga,1975,52
ukpga,1975,53
ukpga,1975,54
ukpga,1975,55
ukpga,1975,56
ukpga,1975,58
ukpga,1975,59
ukpga,1975,60
ukpga,1975,62
ukpga,1975,63
ukpga,1975,65
ukpga,1975,66
ukpga,1975,68
ukpga,1975,69
ukpga,1975,6
ukpga,1975,70
ukpga,1975,71
ukpga,1975,72
ukpga,1975,73
ukpga,1975,74
ukpga,1975,75
ukpga,1975,76
ukpga,1975,77
ukpga,1975,78
ukpga,1975,7
ukpga,1975,80
ukpga,1975,82
ukpga,1975,83
ukpga,1975,8
ukpga,1975,9
ukpga,1976,10
ukpga,1976,13
ukpga,1976,14
ukpga,1976,15
ukpga,1976,16
ukpga,1976,18
ukpga,1976,19
ukpga,1976,1
ukpga,1976,21
ukpga,1976,22
ukpga,1976,23
ukpga,1976,24
ukpga,1976,25
ukpga,1976,26
ukpga,1976,27
ukpga,1976,28
ukpga,1976,30
ukpga,1976,31
ukpga,1976,32
ukpga,1976,33
ukpga,1976,34
ukpga,1976,35
ukpga,1976,36
ukpga,1976,38
ukpga,1976,39
ukpga,1976,3
ukpga,1976,40
ukpga,1976,45
ukpga,1976,46
ukpga,1976,47
ukpga,1976,48
ukpga,1976,49
ukpga,1976,4
ukpga,1976,50
ukpga,1976,52
ukpga,1976,53
ukpga,1976,54
ukpga,1976,55
ukpga,1976,57
ukpga,1976,58
ukpga,1976,5
ukpga,1976,60
ukpga,1976,63
ukpga,1976,64
ukpga,1976,66
ukpga,1976,67
ukpga,1976,69
ukpga,1976,70
ukpga,1976,71
ukpga,1976,72
ukpga,1976,74
ukpga,1976,75
ukpga,1976,76
ukpga,1976,77
ukpga,1976,78
ukpga,1976,79
ukpga,1976,7
ukpga,1976,80
ukpga,1976,81
ukpga,1976,82
ukpga,1976,83
ukpga,1976,86
ukpga,1976,8
ukpga,1977,10
ukpga,1977,15
ukpga,1977,16
ukpga,1977,17
ukpga,1977,18
ukpga,1977,19
ukpga,1977,20
ukpga,1977,24
ukpga,1977,26
ukpga,1977,27
ukpga,1977,30
ukpga,1977,31
ukpga,1977,32
ukpga,1977,33
ukpga,1977,36
ukpga,1977,37
ukpga,1977,38
ukpga,1977,39
ukpga,1977,3
ukpga,1977,41
ukpga,1977,42
ukpga,1977,43
ukpga,1977,45
ukpga,1977,46
ukpga,1977,47
ukpga,1977,48
ukpga,1977,49
ukpga,1977,4
ukpga,1977,50
ukpga,1977,5
ukpga,1977,7
ukpga,1977,8
ukpga,1978,10
ukpga,1978,11
ukpga,1978,14
ukpga,1978,15
ukpga,1978,17
ukpga,1978,18
ukpga,1978,19
ukpga,1978,1
ukpga,1978,20
ukpga,1978,22
ukpga,1978,23
ukpga,1978,24
ukpga,1978,25
ukpga,1978,26
ukpga,1978,28
ukpga,1978,29
ukpga,1978,2
ukpga,1978,30
ukpga,1978,31
ukpga,1978,33
ukpga,1978,34
ukpga,1978,35
ukpga,1978,36
ukpga,1978,37
ukpga,1978,38
ukpga,1978,39
ukpga,1978,3
ukpga,1978,40
ukpga,1978,42
ukpga,1978,44
ukpga,1978,45
ukpga,1978,46
ukpga,1978,47
ukpga,1978,49
ukpga,1978,4
ukpga,1978,50
ukpga,1978,51
ukpga,1978,52
ukpga,1978,53
ukpga,1978,55
ukpga,1978,5
ukpga,1978,6
ukpga,1978,8
ukpga,1978,9
ukpga,1979,10
ukpga,1979,11
ukpga,1979,12
ukpga,1979,13
ukpga,1979,14
ukpga,1979,16
ukpga,1979,17
ukpga,1979,18
ukpga,1979,21
ukpga,1979,22
ukpga,1979,23
ukpga,1979,27
ukpga,1979,28
ukpga,1979,29
ukpga,1979,2
ukpga,1979,30
ukpga,1979,32
ukpga,1979,33
ukpga,1979,34
ukpga,1979,35
ukpga,1979,36
ukpga,1979,37
ukpga,1979,38
ukpga,1979,39
ukpga,1979,3
ukpga,1979,41
ukpga,1979,42
ukpga,1979,43
ukpga,1979,44
ukpga,1979,45
ukpga,1979,46
ukpga,1979,47
ukpga,1979,49
ukpga,1979,4
ukpga,1979,50
ukpga,1979,52
ukpga,1979,53
ukpga,1979,54
ukpga,1979,55
ukpga,1979,57
ukpga,1979,58
ukpga,1979,59
ukpga,1979,5
ukpga,1979,60
ukpga,1979,6
ukpga,1979,7
ukpga,1979,8
ukpga,1979,9
ukpga,1980,10
ukpga,1980,11
ukpga,1980,12
ukpga,1980,13
ukpga,1980,16
ukpga,1980,17
ukpga,1980,18
ukpga,1980,19
ukpga,1980,1
ukpga,1980,20
ukpga,1980,21
ukpga,1980,22
ukpga,1980,23
ukpga,1980,24
ukpga,1980,25
ukpga,1980,26
ukpga,1980,27
ukpga,1980,29
ukpga,1980,2
ukpga,1980,30
ukpga,1980,32
ukpga,1980,33
ukpga,1980,34
ukpga,1980,40
ukpga,1980,41
ukpga,1980,42
ukpga,1980,43
ukpga,1980,44
ukpga,1980,45
ukpga,1980,46
ukpga,1980,47
ukpga,1980,48
ukpga,1980,49
ukpga,1980,4
ukpga,1980,50
ukpga,1980,51
ukpga,1980,52
ukpga,1980,53
ukpga,1980,55
ukpga,1980,56
ukpga,1980,57
ukpga,1980,58
ukpga,1980,5
ukpga,1980,60
ukpga,1980,62
ukpga,1980,63
ukpga,1980,65
ukpga,1980,66
ukpga,1980,67
ukpga,1980,6
ukpga,1980,7
ukpga,1980,8
ukpga,1980,9
ukpga,1981,10
ukpga,1981,11
ukpga,1981,12
ukpga,1981,13
ukpga,1981,14
ukpga,1981,15
ukpga,1981,16
ukpga,1981,17
ukpga,1981,18
ukpga,1981,20
ukpga,1981,21
ukpga,1981,22
ukpga,1981,23
ukpga,1981,24
ukpga,1981,25
ukpga,1981,27
ukpga,1981,28
ukpga,1981,29
ukpga,1981,30
ukpga,1981,31
ukpga,1981,32
ukpga,1981,33
ukpga,1981,34
ukpga,1981,35
ukpga,1981,36
ukpga,1981,37
ukpga,1981,38
ukpga,1981,39
ukpga,1981,3
ukpga,1981,40
ukpga,1981,41
ukpga,1981,42
ukpga,1981,43
ukpga,1981,44
ukpga,1981,45
ukpga,1981,47
ukpga,1981,48
ukpga,1981,49
ukpga,1981,50
ukpga,1981,52
ukpga,1981,53
ukpga,1981,54
ukpga,1981,55
ukpga,1981,56
ukpga,1981,57
ukpga,1981,58
ukpga,1981,59
ukpga,1981,60
ukpga,1981,61
ukpga,1981,63
ukpga,1981,64
ukpga,1981,65
ukpga,1981,66
ukpga,1981,67
ukpga,1981,68
ukpga,1981,69
ukpga,1981,6
ukpga,1981,7
ukpga,1981,8
ukpga,1981,9
ukpga,1982,10
ukpga,1982,11
ukpga,1982,14
ukpga,1982,15
ukpga,1982,16
ukpga,1982,17
ukpga,1982,19
ukpga,1982,1
ukpga,1982,20
ukpga,1982,22
ukpga,1982,23
ukpga,1982,24
ukpga,1982,25
ukpga,1982,27
ukpga,1982,28
ukpga,1982,29
ukpga,1982,30
ukpga,1982,31
ukpga,1982,32
ukpga,1982,33
ukpga,1982,34
ukpga,1982,36
ukpga,1982,37
ukpga,1982,38
ukpga,1982,39
ukpga,1982,3
ukpga,1982,41
ukpga,1982,42
ukpga,1982,43
ukpga,1982,45
ukpga,1982,46
ukpga,1982,47
ukpga,1982,48
ukpga,1982,49
ukpga,1982,4
ukpga,1982,50
ukpga,1982,51
ukpga,1982,52
ukpga,1982,53
ukpga,1982,54
ukpga,1982,55
ukpga,1982,57
ukpga,1982,5
ukpga,1982,6
ukpga,1982,7
ukpga,1982,9
ukpga,1983,10
ukpga,1983,11
ukpga,1983,12
ukpga,1983,13
ukpga,1983,14
ukpga,1983,15
ukpga,1983,16
ukpga,1983,17
ukpga,1983,18
ukpga,1983,19
ukpga,1983,20
ukpga,1983,21
ukpga,1983,22
ukpga,1983,23
ukpga,1983,24
ukpga,1983,25
ukpga,1983,26
ukpga,1983,28
ukpga,1983,29
ukpga,1983,2
ukpga,1983,30
ukpga,1983,32
ukpga,1983,33
ukpga,1983,34
ukpga,1983,35
ukpga,1983,37
ukpga,1983,3
ukpga,1983,40
ukpga,1983,41
ukpga,1983,43
ukpga,1983,44
ukpga,1983,45
ukpga,1983,46
ukpga,1983,47
ukpga,1983,49
ukpga,1983,4
ukpga,1983,50
ukpga,1983,51
ukpga,1983,52
ukpga,1983,53
ukpga,1983,54
ukpga,1983,55
ukpga,1983,56
